usuario,categorias_padre,subcategorias
user_565_4b73,"academia, deportes y bienestar, gastronomía, comunidad, música","atletismo, charla TED-style, minga barrial, chandé, cata de vinos / cocteles"
user_175_5878,"música, comunidad, deportes y bienestar","artes marciales, feria comunitaria, fandango"
user_389_7e9e,"comunidad, otros, academia, deportes y bienestar","fotografía, religioso / espiritual, yoga / meditación, skateboarding, evento infantil, voluntariado, turismo cultural, emprendimiento"
user_224_5151,"academia, deportes y bienestar, artes escénicas, evento tradicional, gastronomía, comunidad, otros, música","fandango, gastronomía, yoga / meditación, taller / workshop, tecnología, títeres / marionetas, feria comunitaria, desfile"
user_338_ef73,"artes escénicas, comunidad","mercado de pulgas, cineclub"
user_916_dc09,"artes escénicas, evento tradicional, academia, deportes y bienestar","feria de ciencia, exposición de arte, stand-up comedy, carnaval barrial, reinado popular, natación, feria de artesanos"
user_587_b905,"otros, academia, música","tecnología, electrónica, turismo cultural, cumbia, charla TED-style, vallenato, rap / hip-hop"
user_131_75a0,"comunidad, música","gaitas, evento infantil"
user_359_65ac,"música, comunidad, deportes y bienestar","deportes, voleibol de playa, porro, voluntariado"
user_803_017e,"gastronomía, música, comunidad, deportes y bienestar","skateboarding, crossfit, taller de cocina, merecumbé, mercado campesino, voluntariado"
user_428_9a36,"comunidad, deportes y bienestar","minga barrial, artes marciales"
user_795_fcc4,"deportes y bienestar, música","electrónica, música en vivo, fútbol"
user_392_ae96,"música, otros, evento tradicional, deportes y bienestar","yoga / meditación, fandango, festival gastronómico, religioso / espiritual, champeta, picó, tecnología"
user_207_6738,"academia, artes escénicas, evento tradicional, comunidad, música","festival gastronómico, performance, charla TED-style, conferencia, voluntariado, salsa"
user_834_a271,"gastronomía, comunidad, otros, evento tradicional","religioso / espiritual, mercado campesino, picó, feria comunitaria"
user_995_168d,"academia, deportes y bienestar, artes escénicas, evento tradicional, gastronomía, comunidad, música","skateboarding, exposición de arte, taller de cocina, cumbia, fiesta de fin de año, taller / workshop, evento familiar"
user_768_2a09,"academia, deportes y bienestar, evento tradicional, gastronomía, música","carnaval barrial, cumbia, food truck, crossfit, reinado popular, porro, hackathon"
user_745_b335,"gastronomía, deportes y bienestar, academia, música","academia, emprendimiento, cata de vinos / cocteles, electrónica, artes marciales"
user_907_7694,"comunidad, academia, deportes y bienestar","yoga / meditación, taller / workshop, mercado de pulgas"
user_871_379d,"academia, artes escénicas, evento tradicional, comunidad, otros, música","cineclub, minga barrial, cumbia, novena navideña, moda / pasarela, reggae, rock, feria de ciencia"
user_126_45f0,"academia, deportes y bienestar, evento tradicional, gastronomía, otros, música","reinado popular, picó, hackathon, videojuegos / gaming, yoga / meditación, food truck, deportes, salsa"
user_409_a2af,"academia, deportes y bienestar, artes escénicas, evento tradicional, música","voleibol de playa, academia, galería, reggae, verbena, charla TED-style, champeta, picó"
user_448_f9c0,"academia, artes escénicas, comunidad, otros, música","tecnología, emprendimiento, mercado de pulgas, voluntariado, rock, feria de ciencia, títeres / marionetas"
user_557_1ac9,"comunidad, academia, música","emprendimiento, mercado de pulgas, merecumbé"
user_926_fc30,"música, comunidad, academia, deportes y bienestar","crossfit, evento familiar, yoga / meditación, música en vivo, emprendimiento"
user_824_e9de,"artes escénicas, gastronomía, comunidad, música","poesía / declamación, mercado de pulgas, taller de cocina, fandango, cata de vinos / cocteles, circo"
user_702_6b0d,"academia, deportes y bienestar","voleibol de playa, feria de ciencia, atletismo"
user_391_4de8,"academia, deportes y bienestar, evento tradicional, gastronomía, música","voleibol de playa, desfile, jazz, gaitas, feria de artesanos, charla TED-style, food truck, cumbia"
user_889_1db0,"comunidad, otros, música","videojuegos / gaming, evento infantil, rap / hip-hop"
user_982_2203,"artes escénicas, evento tradicional, gastronomía, otros, música","gastronomía, desfile, taller de cocina, cineclub, fotografía, cumbia"
user_389_feca,"gastronomía, academia, evento tradicional, deportes y bienestar","fútbol, artes marciales, fiesta de fin de año, cata de vinos / cocteles, feria de ciencia"
user_940_98d8,"deportes y bienestar, artes escénicas, comunidad, otros, música","champeta, música en vivo, fotografía, mercado de pulgas, galería, atletismo, minga barrial, artes marciales"
user_825_0658,"artes escénicas, música, evento tradicional, deportes y bienestar","exposición de arte, poesía / declamación, desfile, circo, picó, voleibol de playa, champeta, ciclismo"
user_419_d815,"academia, deportes y bienestar, evento tradicional, gastronomía, comunidad, música","atletismo, música en vivo, cata de vinos / cocteles, voluntariado, feria de artesanos, reggaeton, emprendimiento"
user_451_ee30,"artes escénicas, gastronomía, academia, música","charla TED-style, chandé, festival de mariscos, reggaeton, cata de vinos / cocteles, galería, emprendimiento, danza folclórica"
user_551_50f2,"artes escénicas, música","jazz, cumbia, stand-up comedy, champeta"
user_725_ae53,"academia, deportes y bienestar, evento tradicional, gastronomía, comunidad, otros, música","champeta, cata de vinos / cocteles, moda / pasarela, gastronomía, voluntariado, networking, artes marciales, reinado popular"
user_945_e81e,"artes escénicas, otros, evento tradicional, música","poesía / declamación, gaitas, fiesta de fin de año, porro, videojuegos / gaming"
user_444_6184,"academia, artes escénicas, evento tradicional, gastronomía, música","carnaval barrial, vallenato, mercado campesino, rock, cata de vinos / cocteles, títeres / marionetas, conferencia, desfile"
user_837_25ee,"artes escénicas, gastronomía, otros, música","chandé, grafiti / arte urbano, fotografía, festival de mariscos, mapalé"
user_416_1a63,"artes escénicas, deportes y bienestar, academia, música","salsa, emprendimiento, porro, ciclismo, poesía / declamación, natación"
user_510_9584,"otros, música","merecumbé, fotografía"
user_869_5991,"deportes y bienestar, artes escénicas, evento tradicional, comunidad, otros, música","electrónica, desfile, deportes, moda / pasarela, circo, mercado de pulgas"
user_503_9a79,"música, deportes y bienestar","atletismo, vallenato"
user_936_45d1,"artes escénicas, academia, música","taller / workshop, porro, teatro comunitario, merecumbé"
user_944_6473,"otros, academia, música","merecumbé, feria de ciencia, moda / pasarela, taller / workshop, porro"
user_421_257d,"música, otros, evento tradicional, deportes y bienestar","artes marciales, deportes, videojuegos / gaming, jazz, verbena, fotografía, turismo cultural"
user_490_9401,"artes escénicas, deportes y bienestar, comunidad, música","salsa, exposición de arte, grafiti / arte urbano, electrónica, minga barrial, gaitas, yoga / meditación"
user_440_0062,"artes escénicas, evento tradicional, comunidad, otros, música","poesía / declamación, carnaval barrial, cumbia, evento infantil, religioso / espiritual"
user_528_a6ce,"comunidad, academia, música","academia, feria comunitaria, merecumbé"
user_239_0bcf,"deportes y bienestar, música","fandango, deportes"
user_145_b67e,"comunidad, evento tradicional, academia, música","feria de ciencia, porro, salsa, fandango, música en vivo, carnaval barrial, voluntariado"
user_689_d06d,"comunidad, academia, música","academia, jazz, evento familiar"
user_312_8a50,"artes escénicas, deportes y bienestar, academia, música","mapalé, academia, circo, artes marciales"
user_969_494e,"academia, deportes y bienestar, evento tradicional, comunidad, otros, música","mapalé, evento familiar, atletismo, chandé, academia, reinado popular, turismo cultural"
user_984_edbe,"comunidad, academia","minga barrial, hackathon"
user_383_14c4,"gastronomía, música, evento tradicional, deportes y bienestar","ciclismo, jazz, verbena, electrónica, deportes, food truck, crossfit, mapalé"
user_221_c395,"deportes y bienestar, artes escénicas, gastronomía, comunidad, música","cineclub, natación, jazz, cata de vinos / cocteles, evento familiar, vallenato"
user_777_776d,"gastronomía, comunidad, academia, música","networking, mercado campesino, charla TED-style, evento familiar, chandé"
user_272_8015,"academia, artes escénicas, evento tradicional, gastronomía, música","chandé, conferencia, stand-up comedy, vallenato, cata de vinos / cocteles, reinado popular, salsa"
user_298_88a4,"artes escénicas, academia, música","teatro comunitario, galería, chandé, porro, charla TED-style"
user_635_1567,"artes escénicas, academia, música","stand-up comedy, vallenato, emprendimiento"
user_232_aace,"academia, deportes y bienestar, artes escénicas, comunidad, música","gaitas, cineclub, voluntariado, taller / workshop, atletismo, ciclismo"
user_562_01f5,"academia, artes escénicas, evento tradicional, comunidad, música","exposición de arte, verbena, networking, feria de artesanos, voluntariado, novena navideña, fiesta de fin de año, fandango"
user_911_9e3f,"gastronomía, evento tradicional, academia, música","academia, picó, jazz, mercado campesino, networking, gaitas"
user_827_92e8,"comunidad, música","reggaeton, mercado de pulgas"
user_956_fab5,"artes escénicas, música","porro, exposición de arte"
user_916_aa51,"academia, deportes y bienestar, evento tradicional, gastronomía, música","mercado campesino, mapalé, emprendimiento, feria de artesanos, electrónica, deportes"
user_209_d46f,"gastronomía, academia, música","jazz, hackathon, taller de cocina, rap / hip-hop, networking, música en vivo, gaitas"
user_726_202c,"academia, deportes y bienestar, artes escénicas, evento tradicional, música","networking, danza folclórica, yoga / meditación, merecumbé, carnaval barrial, jazz"
user_970_3186,"gastronomía, deportes y bienestar, comunidad, música","reggae, mercado de pulgas, voleibol de playa, música en vivo, festival de mariscos"
user_906_28e9,"deportes y bienestar, artes escénicas, gastronomía, otros, música","reggaeton, turismo cultural, cineclub, rap / hip-hop, natación, taller de cocina"
user_348_2f1b,"academia, deportes y bienestar, evento tradicional, comunidad, otros, música","religioso / espiritual, mercado de pulgas, academia, tecnología, novena navideña, carnaval barrial, merecumbé, yoga / meditación"
user_458_11d1,"artes escénicas, comunidad, música","merecumbé, vallenato, minga barrial, títeres / marionetas, champeta"
user_599_2d6a,"academia, deportes y bienestar, artes escénicas, gastronomía, música","música en vivo, yoga / meditación, cata de vinos / cocteles, exposición de arte, conferencia, mercado campesino, danza folclórica"
user_421_e78b,"artes escénicas, evento tradicional, música","exposición de arte, desfile, rock, jazz"
user_176_4e07,"artes escénicas, gastronomía","teatro comunitario, mercado campesino"
user_675_6c11,"artes escénicas, academia","academia, circo"
user_484_b60c,"academia, artes escénicas, evento tradicional, gastronomía, música","mapalé, charla TED-style, reinado popular, títeres / marionetas, cata de vinos / cocteles, porro, hackathon"
user_372_7681,"otros, música","turismo cultural, salsa"
user_938_b080,"deportes y bienestar, otros, música","música en vivo, fútbol, crossfit, turismo cultural"
user_503_2de4,"artes escénicas, otros, evento tradicional","verbena, turismo cultural, performance, títeres / marionetas, cineclub"
user_122_c8df,"academia, deportes y bienestar, artes escénicas, otros, música","porro, tecnología, merecumbé, emprendimiento, deportes, jazz, galería"
user_180_d6d0,"evento tradicional, academia, música","academia, champeta, fiesta de fin de año"
user_228_9eac,"deportes y bienestar, artes escénicas, evento tradicional, gastronomía, otros","reinado popular, feria de artesanos, danza folclórica, galería, picó, crossfit, cata de vinos / cocteles, turismo cultural"
user_839_afeb,"música, evento tradicional, deportes y bienestar","deportes, cumbia, carnaval barrial"
user_397_4d90,"academia, deportes y bienestar, artes escénicas, evento tradicional, música","academia, ciclismo, chandé, verbena, feria de ciencia, desfile, stand-up comedy"
user_184_f7da,"deportes y bienestar, artes escénicas, evento tradicional, comunidad, música","picó, minga barrial, champeta, ciclismo, cineclub"
user_133_43e8,"academia, artes escénicas, evento tradicional, comunidad, otros, música","videojuegos / gaming, feria comunitaria, títeres / marionetas, fiesta de fin de año, fandango, feria de ciencia"
user_307_7baf,"deportes y bienestar, evento tradicional, gastronomía, comunidad, música","food truck, evento familiar, skateboarding, atletismo, festival gastronómico, rap / hip-hop"
user_961_da2c,"artes escénicas, gastronomía, academia, evento tradicional","cata de vinos / cocteles, verbena, cineclub, picó, emprendimiento"
user_894_cb92,"artes escénicas, evento tradicional, música","rap / hip-hop, cumbia, títeres / marionetas, picó, rock"
user_664_b324,"artes escénicas, gastronomía, deportes y bienestar, música","circo, salsa, crossfit, danza folclórica, festival de mariscos, taller de cocina"
user_132_cd05,"academia, artes escénicas, gastronomía, comunidad, música","networking, feria comunitaria, mercado de pulgas, gastronomía, poesía / declamación, exposición de arte, teatro comunitario, mapalé"
user_744_566b,"academia, deportes y bienestar, artes escénicas, gastronomía, comunidad","mercado campesino, stand-up comedy, artes marciales, feria comunitaria, festival de mariscos, galería, conferencia"
user_293_584f,"otros, música","fotografía, mapalé"
user_938_e0af,"comunidad, otros, evento tradicional","videojuegos / gaming, verbena, feria comunitaria"
user_585_5b7c,"artes escénicas, deportes y bienestar, evento tradicional, música","reinado popular, música en vivo, títeres / marionetas, fútbol, fiesta de fin de año"
user_117_cf13,"artes escénicas, evento tradicional, deportes y bienestar","festival gastronómico, skateboarding, stand-up comedy, performance, cineclub, feria de artesanos"
user_109_466a,"gastronomía, academia, evento tradicional, música","mercado campesino, festival de mariscos, novena navideña, hackathon, chandé"
user_387_0417,"deportes y bienestar, música","rap / hip-hop, deportes"
