evento,categorias_padre,subcategorias
event_188_a7fd,"otros, artes escénicas","circo, moda / pasarela"
event_207_2ad0,"evento tradicional, música","verbena, reggae"
event_723_7012,"otros, deportes y bienestar","religioso / espiritual, yoga / meditación"
event_905_2307,"comunidad, música","feria comunitaria, rock"
event_432_1789,evento tradicional,fiesta de fin de año
event_569_17da,"otros, evento tradicional, academia","conferencia, fiesta de fin de año, religioso / espiritual"
event_116_5416,"deportes y bienestar, comunidad, música","rap / hip-hop, fútbol, evento familiar"
event_659_9cb9,"otros, comunidad","evento infantil, moda / pasarela"
event_939_4b05,"otros, gastronomía","videojuegos / gaming, food truck"
event_762_43d5,deportes y bienestar,deportes
event_855_fadd,"comunidad, artes escénicas","mercado de pulgas, stand-up comedy"
event_350_8d75,"música, artes escénicas","poesía / declamación, fandango"
event_311_272e,"otros, gastronomía, evento tradicional","festival gastronómico, festival de mariscos, moda / pasarela"
event_260_0fd2,artes escénicas,grafiti / arte urbano
event_551_78df,otros,videojuegos / gaming
event_519_225c,"otros, artes escénicas","tecnología, cineclub"
event_981_a354,"artes escénicas, música","reggae, circo"
event_686_65bc,artes escénicas,danza folclórica
event_275_3944,"evento tradicional, artes escénicas","teatro comunitario, picó, performance"
event_615_ad91,"otros, deportes y bienestar","voleibol de playa, moda / pasarela"
event_165_760e,"música, artes escénicas","circo, porro, vallenato"
event_486_a67d,gastronomía,mercado campesino
event_425_9058,"otros, deportes y bienestar","religioso / espiritual, atletismo"
event_174_f668,"evento tradicional, academia, deportes y bienestar","fútbol, emprendimiento, reinado popular"
event_911_c6ad,"evento tradicional, música","cumbia, feria de artesanos"
event_405_93de,artes escénicas,galería
event_992_4fc8,"academia, música","feria de ciencia, electrónica"
event_398_5084,otros,fotografía
event_791_d001,"otros, música","reggae, videojuegos / gaming"
event_920_0bb1,"academia, música","networking, rock"
event_728_b76d,"academia, comunidad","minga barrial, hackathon"
event_903_e850,"evento tradicional, comunidad","reinado popular, voluntariado"
event_140_e21c,artes escénicas,poesía / declamación
event_227_74c2,"gastronomía, comunidad","food truck, feria comunitaria"
event_728_d48c,"otros, gastronomía, academia","tecnología, mercado campesino, academia"
event_178_9db1,"otros, academia","moda / pasarela, conferencia"
event_424_6b60,"comunidad, academia, música","reggaeton, emprendimiento, mercado de pulgas"
event_977_d26d,"evento tradicional, música, artes escénicas","circo, rap / hip-hop, fiesta de fin de año"
event_580_6b3c,"evento tradicional, academia","feria de artesanos, emprendimiento"
event_737_f530,comunidad,mercado de pulgas
event_566_9b4a,gastronomía,food truck
event_714_8eab,evento tradicional,desfile
event_235_7611,academia,emprendimiento
event_864_c800,"academia, música","reggae, fandango, charla TED-style"
event_616_d6d9,"deportes y bienestar, comunidad, artes escénicas","títeres / marionetas, feria comunitaria, yoga / meditación"
event_404_3a06,"gastronomía, música","música en vivo, jazz, food truck"
event_400_bcaf,artes escénicas,"grafiti / arte urbano, stand-up comedy, danza folclórica"
event_892_ca80,"academia, música","hackathon, vallenato"
event_882_dedf,artes escénicas,circo
event_724_595b,música,música en vivo
event_896_1c27,artes escénicas,grafiti / arte urbano
event_621_51a0,artes escénicas,poesía / declamación
event_755_78ea,música,reggae
event_935_6db5,"artes escénicas, deportes y bienestar","skateboarding, títeres / marionetas"
event_666_06b0,"otros, deportes y bienestar, música","porro, videojuegos / gaming, artes marciales"
event_836_ab21,evento tradicional,fiesta de fin de año
event_638_d238,academia,academia
event_622_8ba4,comunidad,voluntariado
event_819_8b92,"gastronomía, academia","gastronomía, emprendimiento"
event_195_8643,música,"chandé, gaitas"
event_405_863d,"comunidad, música","feria comunitaria, música en vivo"
event_876_1054,otros,religioso / espiritual
event_605_2dd0,música,porro
event_631_9993,música,gaitas
event_961_dd0e,"evento tradicional, artes escénicas","cineclub, feria de artesanos"
event_859_d265,"gastronomía, música","chandé, gaitas, gastronomía"
event_821_304c,"evento tradicional, música, deportes y bienestar","deportes, carnaval barrial, reggae"
event_868_d895,"evento tradicional, artes escénicas","desfile, stand-up comedy"
event_666_25b9,"otros, gastronomía","videojuegos / gaming, cata de vinos / cocteles"
event_576_6f58,"artes escénicas, academia, música","conferencia, rap / hip-hop, danza folclórica"
event_497_be5d,"academia, artes escénicas","danza folclórica, taller / workshop"
event_197_05cd,"otros, academia","hackathon, videojuegos / gaming"
event_506_0cfd,artes escénicas,grafiti / arte urbano
event_264_de4e,artes escénicas,poesía / declamación
event_387_b3ab,"gastronomía, artes escénicas","cineclub, taller de cocina"
event_571_f711,otros,videojuegos / gaming
event_828_dc99,"gastronomía, comunidad, música","food truck, voluntariado, rap / hip-hop"
event_784_94cd,evento tradicional,feria de artesanos
event_852_d566,"otros, deportes y bienestar","natación, religioso / espiritual"
